"bar_index","piano_right_hand","piano_left_hand","violin_1","violin_2"
"11","{<<{\voiceOne a''8. e''16 fis''16 e'' d'' cis'' \grace cis''8 d''4} \new Voice {\voiceTwo r4 cis''4 fis'}>>}","r4 a4 b4","a''8. e''16 fis''16 (e''16) d''16\staccato cis''16\staccato \grace cis''8 d''4","r4 cis''4 fis'4"
"12","{<<{\voiceOne d'8 \tuplet 3/2{fis''16 g'' a''} g''8 \tuplet 3/2{g''16 a'' b''} \grace b''8 a''4} \new Voice {\voiceTwo d'8 \tuplet 3/2{d''16 e'' fis''} e''8 \tuplet 3/2{e''16 fis'' g''} \grace g''8 fis''4}>>}","d4 d4 d8. e16","fis'8 \tuplet 3/2{fis''16 g'' a''} g''8 \tuplet 3/2{g''16 a'' b''} \grace b''8 a''4","d'8  \tuplet 3/2{d'16 e' fis'} e'8  \tuplet 3/2{e'16 fis' g'}  \grace g'8 fis'4"
"13","g'16 b''16 g''16 d''16 b'16 g''16 d''16 b'16 g'4","b8 b8 r8 g8 b8 g8","g'16 b''16\staccato g''16\staccato d''16\staccato b'16 g''16 d''16 b'16 g'4\trill","g'8 d'8 r8 b16 d'16 g'16 d'16 b16 g16"
"14","a''16 d'''16 fis''16 a''16 gis''16 b''16 b'16 d''16 cis''16 e''16 e'16 gis''16","fis4 e4 a4","a''16 (d'''16) fis''16\staccato a''16\staccato g''16 (b''16) b'16\staccato d''16\staccato cis''16 (e''16) e'16\staccato g''16\staccato","r2 cis''16 e''16 e'16 e''16"
"15","e'16 g'16 b'16 e''16 e'16 g'16 b'16 e''16 e'16 g'16 b'16 e''16","r8 gis16 fis16 gis8 e8 d'8 d'8","e'16 gis'16 b'16 e''16 e'16 gis'16 b'16 e''16 e'16 gis'16 b'16 e''16","r2."
"16","a'16 fis''16 e''16 d''16 b'16 g''16 fis''16 e''16 cis''16 <b'' g''>16 <a'' fis''>16 <g'' e''>16","fis4 g4 a4","a'16\staccato fis''16 (e''16 d''16) b'16\staccato g''16 (fis''16 e''16) cis''16\staccato b''16 (a''16 g''16)","r2 cis''16 g''16 fis''16 e''16"
"17","{<<{\voiceOne cis''16 b' cis'' gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 (b'16 cis''16)\staccato gis'16\staccato \grace gis'8 a'2","a'16 gis'16 a'16 d'16  \grace d'8 cis'2"
"18","fis'16 fis'16 a'16 fis'16 {<<{\voiceOne d'8 a''8 g''fis''8} \new Voice {\voiceTwo d'8 fis''8 e''8 d''8}>>}","d4 d4 d4","fis'16 fis'16 a'16 fis'16 d'8 a''8 g''8\trill fis''8","d'16 fis'16 a' fis' d'8 fis'' e'' \trill d''"
"19","d''16 fis''16 a'16 d''16 fis'16 a'16 d'16 a''16 g''16 fis''16 e''16 d''16","fis4 r8 fis8 d8 c'8","d''16 fis''16 a'16 d''16 fis'16 a'16 d'16 a''16 g''16 fis''16 e''16 d''16","r2."
"20","{<<{\voiceOne a'16 fis'' g'' g'' a' fis'' g'' fis'' \grace fis''8 e''4} \new Voice {\voiceTwo a'16 d'' e'' d'' a' d'' e'' d'' \grace d''8 cis''4}>>}","r4 d4 a4","a'16\staccato fis''16 (g''16 fis''16) a'16\staccato fis''16 (g''16 fis''16) \grace fis''8 e''4","a'16 \staccato d'' (e'' d'') a' \staccato d'' (e'' d'')  \grace d''8 cis''4"
"21","e'8. gis'16 b'16 gis'16 e''16 b'16 gis''16 e''16 b''16 gis'16","r8 e'8 b8 gis8 e8 d'8","e'8. gis'16 b'16 (gis'16) e''16 (b'16) gis''16 (e''16) b''16\staccato gis'16\staccato","r2."
"22","a'16 cis''16 d''16 fis''16 b'8\trill g''16 e'' cis'' a' b'' g''","fis8. d16 g8 e8 a8 cis8","a'16 (cis''16 d''16) fis''16\staccato b'8\trill g''16 e''16 cis''16 (a'16) b''16\staccato g''16\staccato","r2 cis''16 (a') g'' \staccato e'' \staccato"
"23","a'16 cis''16 e''16 a''16 a''16 e''16 cis''16 a'16 a'4","cis'8 a8 r8 a8 cis'8 a8","a'16 cis''16 e''16 a''16 a''16 e''16 cis''16 a'16 a'4\trill","a'8 cis''8 r8 a' e' cis'"
"24","a'8 \tuplet 3/2{a''16 e'' cis''} a'8 a'8 a'4\trill","a,8 \tuplet 3/2{a16 e cis} a,8 a,8 a,4","a'8 \tuplet 3/2{a''16 e'' cis''} a'8 a'8 a'4","r2."
"25","a'16 cis''16 e'16 a'16 cis'16 e'16 a16 cis'''16 b''16 a''16 gis''16 a''16","cis'4 a4 r4","a'16 (cis''16) e'16\staccato a'16\staccato cis'16 (e'16) a16\staccato cis'''16\staccato b''16 (a''16 gis''16 a''16)","r4 cis'16 (e' a) e'' \staccato d'' (cis' b' cis'')"
"26","{<<{\voiceOne fis''16 e'' d'' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8. g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 (e''16) d''16\staccato cis''16\staccato \grace cis''8 d''2","d''16 (cis'') d'' \staccato e'  \grace e'8 fis'2"
"27","d'8. fis'16 a'16 fis'16 d''16 a'16 fis''16 d''16 a''16 fis'16","r8 d'8 a8 fis8 d8 c'8","d'8. fis'16 a'16 (fis'16) d''16 (a'16) fis''16 (d''16) a''16\staccato fis'16\staccato","r2."
"28","{<<{\voiceOne fis'16 a' d'' fis'' a''8 b' cis'' b'} \new Voice {\voiceTwo d'8 r4 d'8 e' d'}>>}","d4 d4 d8. e16","fis'16 a'16 d''16 fis''16 a''8 d''8 e''8\trill d''8","d'16 fis' a' d'' fis''8 fis' g' fis'"
"29","{<<{\voiceOne d''8 fis''4 d''16 b' e'8 d''} \new Voice {\voiceTwo b'8 d''4 r8 e'8 b'}>>}","r4 e4 gis4","d''8 fis''4 d''16 b'16 e'8 d''8","b'8 d''4 b'16 gis' e'8 b'"
"30","a'8 a a16 d' e' a' a4","a8 a,8 a,16 cis16 e16 a16 a,4","a'8 a8 a16 cis'16 e'16 a'16 a4","r2."
"31","g'16 b' d' g' b d' g b'' a'' g'' fis'' g''","b4 g4 r4","g'16 b'16 d'16 g'16 b16 d'16 g16 b''16 a''16 (g''16 fis''16 g''16)","r4 b16 d' g d'' c'' b' a' b'"
"32","fis'16 a'' d' fis'' g' b'' e' g'' cis' e'' fis <e'' g''>","fis8. d16 e8 g8 a8 cis8","fis'16 a''16 d'16 fis''16 g'16 b''16 e'16 g''16 cis'16 e''16 a16 g''16","r2 cis'16 e'' a e''"
"33","a'16 cis''' a'' e'' cis'' a'' e'' cis'' a'4","cis'8 cis'8 r8 a8 cis'8 a8","a'16 cis'''16 a''16 e''16 cis''16 a''16 e''16 cis''16 a'4","a'8 e' r8 cis'16 e' a' e' cis' a"
"34","a'8 e'16 fis' e' d' cis' b a4","a8 e8 e16 d16 cis16 b,16 a,4","a'8 e'16 fis'16 e'16 d'16 cis'16 b16 a4","r2."
"35","{<<{\voiceOne cis''16 fis'' e'' gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 fis''16 e''16 gis'16 \grace gis'8 a'2","a'16 d' cis' b  \grace b8 cis'2"
"36","{<<{\voiceOne fis'8 \tuplet 3/2{d''16 e'' fis''} e''8 \tuplet 3/2{e''16 fis'' g''} \grace g''8 fis''4} \new Voice {\voiceTwo d'8 r8 cis''8 \tuplet 3/2{cis''16 d'' e''} \grace e''8 d''4}>>}","d4 d4 d4","fis'8 \tuplet 3/2{d''16 e'' fis''} e''8 \tuplet 3/2{e''16 fis'' g''} \grace g''8 fis''4","d'8  \tuplet 3/2{fis'16 g' a'} cis'8  \tuplet 3/2{cis'16 d' e'}  \grace e'8 d'4"
"37","d'8 \tuplet 3/2{fis'16 g' a'} {<<{\voiceOne d'8 \tuplet 3/2{fis''16 g'' a''} fis''4} \new Voice {\voiceTwo d'8 a'8 a'4}>>}","fis8 d8 r8 d8 c'8 c'8","d'8 \tuplet 3/2{fis'16 g' a'} d'8 \tuplet 3/2{fis''16 g'' a''} fis''4\trill","r4 d'8  \tuplet 3/2{a'16 b' c''} d'8 a'8"
"38","{<<{\voiceOne fis''16 d'' e'' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8 r16 g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 (d''16) e''16\staccato cis''16\staccato \grace cis''8 d''2","d''16 fis' g' e'  \grace e'8 fis'2"
"39","a'8 \tuplet 3/2{cis''16 d'' e''} {<<{\voiceOne a'8 \tuplet 3/2{g''16 a'' b''} a''4} \new Voice {\voiceTwo r8 d'8 e' cis'}>>}","cis'8 a4 b8 cis'8 a8","a'8 \tuplet 3/2{cis''16 d'' e''} a'8 \tuplet 3/2{gis''16 a'' b''} a''4","e'4. d'8 e' cis'"
"40","{<<{\voiceOne fis'16 a' b' cis'' d'' fis'' g'' e'' \grace e''8 fis''8. g'16} \new Voice {\voiceTwo d'16 fis' g' e' fis' d'' e'' cis'' \grace cis''8 d''8. e'16}>>}","d4 d4 d4","fis'16 a'16 b'16 cis''16 d''16 fis''16 g''16 e''16 \grace e''8 fis''8. g'16","d'16 fis' g' e' fis' d'' e'' cis''  \grace cis''8 d''8. e'16"
"41","{<<{\voiceOne a'8 e'' (e'') a''16 e'' \grace e''8 d''4} \new Voice {\voiceTwo a'8 cis''4 cis''8 \grace cis''8 b'4}>>}","r8 \tuplet 3/2{a16 e cis} a,8 a8 b,4","a'8 e''8 e''8\trill a''16 e''16 \grace e''8 d''4","a'8 cis'' cis'' \trill e''16 cis''  \grace cis''8 b'4"
"42","d''8 d' fis'8. e'32 d' fis'8. e'32 d'","d'8 d8 fis8.\trill e32 d32 fis8.\trill e32 d32","d''8 d'8 fis'8.\trill e'32 d'32 fis'8.\trill e'32 d'32","r2."
"43","{<<{\voiceOne a'8 a''4 fis'' e''8} \new Voice {\voiceTwo fis'8 fis''4 d'' cis''8}>>}","r8 d16 cis16 d16 e16 fis16 g16 a8 a,8","a'8 a''4 fis''4 e''8","a'8 fis''4 b' cis''8"
"44","d'16 fis' a' d'' fis'' d'' a' fis' d'4","d4. d8 fis8 d8","d'16 fis'16 a'16 d''16 fis''16 d''16 a'16 fis'16 d'4","r2."
"45","e'8 b'' (b''16) a'' g'' fis'' e'' fis'' b' d''","gis4 gis4 gis4","e'8 b''8 (b''16) a''16 gis''16 fis''16 e''16 (fis''16) b'16\staccato d''16\staccato","e'4. b'8 b'4"
"46","{<<{\voiceOne fis'16 fis' g' fis' fis' a'' b'' a'' a''4} \new Voice {\voiceTwo d'16 d' e' d' d' fis'' g'' fis'' fis''4}>>}","d4 d4 d8. e16","fis'16\staccato fis'16 (g'16 fis'16) fis'16\staccato a''16 (b''16 a''16) a''4","d'16 \staccato d' (e' d') d' \staccato fis'' (g'' fis'') fis''4"
"47","{<<{\voiceOne cis''16 a' b' gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 (a'16) b'16\staccato gis'16\staccato \grace gis'8 a'2","b'16 cis' d' b  \grace b8 cis'2"
"48","a'16 cis'' d'' c'' b' dis'' e'' d'' c'' b'' a'' g''","fis4 g4 a4","a'16\staccato cis''16 (d''16 c''16) b'16\staccato dis''16 (e''16 d''16) cis''16\staccato b''16 (a''16 g''16)","r2."
"49","{<<{\voiceOne g'8 \tuplet 3/2{b'16 c'' d''} g'8 \tuplet 3/2{fis''16 g'' a''} g''4} \new Voice {\voiceTwo d'4. c'8 d'8 b}>>}","b8 g4 a8 b8 g8","g'8 \tuplet 3/2{b'16 c'' d''} g'8 \tuplet 3/2{fis''16 g'' a''} g''4","d'4. c'8 d' b"
"50","{<<{\voiceOne fis'16 a' b' a' a' fis'' g'' fis'' fis''8. g'16} \new Voice {\voiceTwo d'16 fis' g' fis' fis' d'' e'' d'' d''8. e'16}>>}","d4 d4 d4","fis'16\staccato a'16 (b'16 a'16) a'16\staccato fis''16 (g''16 fis''16) fis''8. g'16","d'16 fis' g' fis' fis' d'' e'' d'' d''8. e'16"
"51","e''16 gis''b' e'' gis' b' e' b'' a'' gis'' e'' d''","gis4 r8 gis8 e8 d'8","e''16 (gis''16) b'16\staccato e''16\staccato gis'16 (b'16) e'16\staccato b''16\staccato a''16 (gis''16) fis''16 (e''16)","r2."
"52","d'''16 cis''' b'' a'' g'' fis'' e'' d'' cis'' b' a' g''","fis4 e4 a4","d'''16 (cis'''16) b''16\staccato a''16\staccato g''16 (fis''16) e''16\staccato d''16\staccato cis''16 (b'16) a'16\staccato g''16\staccato","r2."
"53","e'16 b'' gis'' e'' e'8 {<<{\voiceOne gis'' gis''4\trill} \new Voice {\voiceTwo b'8 b'4}>>}","gis8 e8 r16 e'16 b16 gis16 e16 gis16 b16 d'16","e'16 b''16 gis''16 e''16 e'8 gis''8 gis''4\trill","r4 e'8 b' b'4"
"54","{<<{\voiceOne fis''16 a'' a' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8 r16 g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 (a''16) a'16\staccato cis''16\staccato \grace cis''8 d''2","d''16 (fis'') a' \staccato g' \staccato  \grace g'8 fis'2"
"55","a'8. cis'''16 e'' a'' cis'' e'' a'4","cis'8 a8 r8 a8 cis'8 a8","a'8. cis'''16 e''16 a''16 cis''16 e''16 a'4","a'8 e'' cis'' a' e' cis'"
"56","a16 a' gis' a' cis'' a' e' cis' a4","cis4. a,8 cis8 a,8","a16 a'16 gis'16 a'16 cis''16 a'16 e'16 cis'16 a4","r2."
"57","{<<{\voiceOne g'16 g'' d''8 d''16 c'' b' a' g'4} \new Voice {\voiceTwo g'16 g'' b'8 b'16 a' g' fis' g'4}>>}","b8 g,8 b,8 d8 g8 g,8","g'16 g''16 d''8 d''16 (c''16) b'16 (a'16) g'4","g'8 b' b'16 a' g' fis' g'4"
"58","{<<{\voiceOne fis''8 a''16 cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8. g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''8\trill a''16 cis''16 \grace cis''8 d''2","d''16 a' fis' e'  \grace e'8 fis'2"
"59","e'16 d'' cis'' d'' e' gis'' b'' a'' gis'' fis'' e'' d''","gis4 gis4 gis4","e'16 d''16 (cis''16 d''16) e'16 gis''16 b''16 a''16 gis''16 (fis''16) e''16\staccato d''16\staccato","r4 e'16 e'' gis'' fis'' e'' d'' cis'' b'"
"60","{<<{\voiceOne fis'16 fis' a' fis' d'8 fis'' e''\trill d''} \new Voice {\voiceTwo d'8 r8 d'8 a' g' fis'}>>}","d4 d4 d4","fis'16 fis'16 a'16 fis'16 d'8 fis''8 e''8\trill d''8","d'16 fis' a' fis' d'8 a' g' \trill fis'"
"61","d'8 a'' (a'') \tuplet 3/2{fis''16 g'' a''} d'8 fis''8","r8 c8 c'4 c'4","d'8 a''8 (a''8) \tuplet 3/2{fis''16 g'' a''} d'8 fis''8","d'8  \tuplet 3/2{fis'16 g' a'} d'8  \tuplet 3/2{d''16 e'' fis''} d'8 a'"
"62","d'8 d'' (d''16) g' e'\trill d' d'' fis'\trill e' d'","d4 fis4 d4","d'8 d''8 (d''16) fis'16 e'16\trill d'16 d''16 fis'16 e'16\trill d'16","r2."
"63","a'8 \tuplet 3/2{a''16 e'' cis''} {<<{\voiceOne a'8 \tuplet 3/2{cis''16 d'' e''} \grace e''8 d''4} \new Voice {\voiceTwo a'8 \tuplet 3/2{a'16 b' cis''} \grace cis''8 b'4}>>}","r4 a4 b4","a'8 \tuplet 3/2{a''16 e'' cis''} a'8 \tuplet 3/2{cis''16 d'' e''} \grace e''8 d''4","r4 a'8  \tuplet 3/2{a'16 b' cis''}  \grace cis''8 b'4"
"64","{<<{\voiceOne fis''16 a'' a' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8 r16 g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 a''16 a'16 cis''16 \grace cis''8 d''2","d''16 fis'' a' g'  \grace g'8 fis'2"
"65","{<<{\voiceOne e'8 d'' d''\trill fis''16 d''16 b'8 cis''16 d''} \new Voice {\voiceTwo e'8 b' b' r gis' a'16 b'}>>}","r4 e4 e4","e'8 d''8 (d''8)\trill fis''16 d''16 b'8 cis''16 d''16","e'8 b'8 (b') d''16 b' gis'8 a'16 b'"
"66","{<<{\voiceOne fis''16 b'' a'' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8. g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 b''16 a''16 cis''16 \grace cis''8 d''2","d''16 g' fis' e'  \grace e'8 fis'2"
"67","d'16 fis' a' d'' d'16 fis' a' d'' d'16 fis' a' d''","r8 fis16 e16 fis8 d8 c'8 c'8","d'16 fis'16 a'16 d''16 d'16 fis'16 a'16 d''16 d'16 fis'16 a'16 d''16","r2."
"68","{<<{\voiceOne d'16 d'' cis'' d'' e''8. fis''32 g'' \grace g''8 fis''4} \new Voice {\voiceTwo d'16 fis' e' fis' cis''8. d''32 e'' \grace e''8 d''4}>>}","d4 d4 d4","d'16\staccato d''16 (cis''16 d''16) e''8. fis''32 g''32 \grace g''8 fis''4","d'16 \staccato fis' (e' fis') cis'8. d'32 e'  \grace e'8 d'4"
"69","a'16 a'' fis'' d'' {<<{\voiceOne a'8 \tuplet 3/2{fis''16 g'' a''} \grace fis''8 e''4} \new Voice {\voiceTwo a'8 d''8 \grace d''8 cis''4}>>}","r4 d4 a4","a'8 \tuplet 3/2{a''16 fis'' d''} a'8 \tuplet 3/2{fis''16 g'' a''} \grace fis''8 e''4","r4 a'8  \tuplet 3/2{d''16 e'' fis''}  \grace d''8 cis''4"
"70","d'16 a fis' e' d' a fis' e' d'4\trill","d4 d4 d4","d'16 (a16) fis'16\staccato e'16\staccato d'16 (a16) fis'16\staccato e'16\staccato d'4\trill","r2."
"71","g'8. b''16 d'' g'' b' d'' g'4","b8 g8 r8 g8 b8 g8","g'8. b''16 d''16 g''16 b'16 d''16 g'4","g'8 d'' b' g' d' b"
"72","d'8 \tuplet 3/2{d''16 a' fis'} d'8 d' d'4\trill","d8 \tuplet 3/2{d'16 a fis} d8 d8 d4","d'8 \tuplet 3/2{d''16 a' fis'} d'8 d'8 d'4\trill","r2."
"73","e'8 \tuplet 3/2{gis'16 a' b'} {<<{\voiceOne e'8 \tuplet 3/2{gis''16 a'' b''} gis''4\trill } \new Voice {\voiceTwo e'8 b'8 b'4}>>}","gis8 e8 r8 e8 d'8 d'8","e'8 \tuplet 3/2{gis'16 a' b'} e'8 \tuplet 3/2{gis''16 a'' b''} gis''4\trill","r4 e'8  \tuplet 3/2{b'16 cis'' d''} e'8 b'"
"74","d'16 a'' fis'' d'' {<<{\voiceOne d'8 fis''8 fis''4} \new Voice {\voiceTwo d'8 a'8 a'4}>>}","fis8 d8 r16 d'16 a16 fis16 d16 fis16 a16 c'16","d'16 a''16 fis''16 d''16 d'8 fis''8 fis''4\trill","r4 d'8 a' a'4"
"75","{<<{\voiceOne a'16 a'' e''8 e''16 d'' cis'' b' a'4} \new Voice {\voiceTwo a'8 cis'' cis''16 b' a' gis' a'4}>>}","cis'8 a,8 cis8 e8 a8 a,8","a'16 a''16 e''8 e''16 (d''16) cis''16 (b'16) a'4\trill","a'8 cis'' cis''16 (b') a' (gis') a'4"
"76","{<<{\voiceOne cis''16 e'' e' g' \grace g'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4 e4 a,4","cis''16 (e''16) e'16\staccato gis'16\staccato \grace gis'8 a'2","a'16 e' cis' b  \grace b8 cis'2"
"77","{<<{\voiceOne a'16 e'' fis'' e'' a'16 e'' fis'' e'' \grace e''8 d''4} \new Voice {\voiceTwo a'16 cis'' d'' cis'' a'16 cis'' d'' cis'' \grace cis''8 b'4}>>}","r4 a4 b4","cis''16\staccato e''16 (fis''16 e''16) cis''16\staccato e''16 (fis''16 e''16) \grace e''8 d''4","a'16 cis'' d'' cis'' a'16 cis'' d'' cis''  \grace cis''8 b'4"
"78","{<<{\voiceOne d'8 fis'' fis''8 a''16 fis'' \grace fis''8 e''4} \new Voice {\voiceTwo d'8 d''8 d''8. d''16 \grace d''8 cis''4}>>}","r8 \tuplet 3/2{d'16 a fis} d8 d8 a4","d'8 fis''8 fis''8\trill a''16 fis''16 \grace fis''8 e''4","d'8 d''8 d'' \trill fis''16 d''  \grace d''8 cis''4"
"79","{<<{\voiceOne fis'16 a' b' cis'' d'' a'' b'' g'' \grace g''8 a''4} \new Voice {\voiceTwo d'16 fis' g' e' fis' fis'' g'' e'' \grace e''8 fis''4}>>}","d4 d4 d8. e16","fis'16 a'16 b'16 cis''16 d''16 a''16 b''16 g''16 \grace g''8 a''4","d'16 fis' g' e' fis' fis'' g'' e''  \grace e''8 fis''4"
"80","d'16 fis' a' d'' fis'' a'' fis'' d'' {<<{\voiceOne \grace d''8 e''4} \new Voice {\voiceTwo \grace b'8 cis''4}>>}","d4 d4 a4","d'16 fis'16 a'16 d''16 fis''16 a''16 fis''16 d''16 \grace d''8 e''4","r4 d''16 fis'' d'' b'  \grace b'8 cis''4"
"81","e'8 b'' (b'') \tuplet 3/2{gis''16 a'' b''} {<<{\voiceOne e'8 g''} \new Voice {\voiceTwo e'8 b'}>>}","r8 d8 d'4 d'4","e'8 b''8 (b''8) \tuplet 3/2{gis''16 a'' b''} e'8 gis''8","e'8  \tuplet 3/2{gis'16 a' b'} e'8  \tuplet 3/2{e''16 fis'' gis''} e'8 b'8"
"82","a'8. d''16 {<<{\voiceOne fis''8.\trill e''32 d'' \grace d''8 e''4} \new Voice {\voiceTwo d''4 \grace d''8 cis''4}>>}","r8 d'8 d8 d'8 a8 a,8","a'8. d''16 fis''8\trill e''16 d''16 \grace d''8 e''4","a'8. b'16 d''8. \trill cis''32 b'  \grace b'8 cis''4"
"83","{<<{\voiceOne cis''16 b' a' gis' \grace gis'8 a'2} \new Voice {\voiceTwo r8. d'16 \grace d'8 cis'2}>>}","a4. e8 a,4","cis''16 (b'16) a'16\staccato gis'16\staccato \grace gis'8 a'2","a'16 (gis') a' \staccato b \staccato  \grace b8 cis'2"
"84","{<<{\voiceOne a'8 a''4 e'' d''8} \new Voice {\voiceTwo a'8 cis''4 cis'' b'8}>>}","r8 a16 gis16 a16 b16 cis'16 ais16 b8 b,8","a'8 a''4 e''4 d''8","a'8 cis''4 cis''4 b'8"
"85","g'16 g b d' g' b' d'' g'' g'4","b8 g8 r8 g,8 b,8 g,8","g'16 g16 b16 d'16 g'16 b'16 d''16 g''16 g'4","r4 g'8 b d' b"
"86","e'16 fis' gis' a' {<<{\voiceOne b'16 cis'' d'' cis'' d'' fis'' e'' d''} \new Voice {\voiceTwo r8 gis'8 a' b'}>>}","gis8 e8 r8 e8 fis8 gis8","e'16 fis'16 gis'16 a'16 b'16 cis''16 d''16 cis''16 d''16 fis''16 e''16 d''16","r8 e'16 fis' gis'8 gis'8 (a' b')"
"87","{<<{\voiceOne fis'8 a'' a''\trill g'' g''\trill fis''} \new Voice {\voiceTwo d'8 fis'' fis'' e'' e'' d''}>>}","d4 d4 d4","fis'8 a''8 a''8\trill g''8 g''8\trill fis''8","d'8 fis'' fis'' \trill (e'') g'' \trill (fis'')"
"88","{<<{\voiceOne fis''16 d'' e'' cis'' \grace cis''8 d''2} \new Voice {\voiceTwo d''8 r16 g'16 \grace g'8 fis'2}>>}","d4. a,8 d,4","fis''16 (d''16) e''16\staccato cis''16\staccato \grace cis''8 d''2","d''16 fis' g' e'  \grace e'8 fis'2"
"89","a'16 a'' fis'' d'' b' g' e' cis' a8. {<<{\voiceOne g''16} \new Voice {\voiceTwo e''16}>>}","fis4 g4 cis4","a'16 a''16 fis''16 d''16 b'16 g'16 e'16 cis'16 a8. g''16","r2 a8. e''16"
"90","a'16 d'' fis'' a'' a'16 d'' fis'' a'' {<<{\voiceOne \grace fis''8 e''4} \new Voice {\voiceTwo \grace d''8 cis''4}>>}","r8 d8 d,8 d8 a,16 cis16 e16 a16","a'16 d''16 fis''16 a''16 a'16 d''16 fis''16 a''16 \grace fis''8 e''4","a'8 d''16 fis'' a'8 d''16 fis''  \grace d''8 cis''4"
