"bar_index","piano_right_hand","piano_left_hand"
"30","{<<{\voiceOne \stemUp e''8 [\stemUp c'''8] g''4} \new Voice {\voiceTwo c''2}>>}","\stemDown c8 [\stemDown e8] \stemDown <c' e'>8 [\stemDown g8]"
"31","\stemDown f''16 [\stemDown e''16 \stemDown dis''16 \stemDown e''16] \stemDown c'''8 [\stemDown e''8]","\stemDown c8 [\stemDown <c' e'>8] \stemDown a8 [\stemDown <c' e'>8]"
"32","<g' c'' e''>4 <g' b' d''>8 r8","g2"
"33","\stemDown g''8 [\stemDown b'8] \stemDown fis''8 [\stemDown a'8]","\stemDown e8 [\stemDown <g b>8] \stemDown b,8 [\stemDown <fis b>8]"
"34","\stemDown a''8 [\stemDown <c'' a''>8] <a' a''>4","\stemDown <a c'>8 [\stemDown <a e'>8] <a c'>4"
"35","\stemDown c''16 [\stemDown d''16 \stemDown e''16 \stemDown c''16] \stemDown a'8 [\stemDown a''8]","{<<{\voiceOne r8 <c' e'>8 \stemUp <c' e'>8 [\stemUp <c' e'>8]} \new Voice {\voiceTwo a2}>>}"
"36","\stemDown a''8 [\stemDown f''8] \stemDown d''8 [\stemDown c''8]","<f a d'>4 <fis a d'>4"
"37","\stemDown a''16 [\stemDown f''16 \stemDown e''16 \stemDown d''16] \stemDown c''16 [\stemDown g''16 \stemDown b'16 \stemDown d''16]","\stemDown f8 [\stemDown <a d'>8] \stemDown <g c' e'>8 [\stemDown <g b f'>8]"
"38","\stemDown f''16 [\stemDown e''16 \stemDown f''16 \stemDown g''16] \stemDown a''8 [\stemDown a''8]","{<<{\voiceOne r8 <a c'>8 \stemUp <a c'>8 [\stemUp <a c'>8]} \new Voice {\voiceTwo f2}>>}"
"39","{<<{\voiceOne \stemUp e''8 [\stemUp f''16 \stemUp e''16] \stemUp dis''8 [\stemUp e''8]} \new Voice {\voiceTwo | c''2}>>}","\stemDown c8 [\stemDown g8] \stemDown <c' e'>8 [\stemDown g8] |"
"40","\stemUp <e' g'>8 [\stemUp <f' a'>16 \stemUp <e' g'>16] \stemDown <e' c''>8 [\stemDown <c'' e''>8]","{<<{\voiceOne r8 c'8 \stemUp c'8 [\stemUp c'8]} \new Voice {\voiceTwo c2}>>}"
"41","\stemUp gis'16 [\stemUp a'16 \stemUp b'16 \stemUp gis'16] \stemUp e'8 [\stemUp e''8]","{<<{\voiceOne r8 <b d'>8 \stemUp <b d'>8 [\stemUp <b d'>8]} \new Voice {\voiceTwo e2}>>}"
"42","\stemDown a''8 [\stemDown gis''16 \stemDown a''16] \stemDown bes''8 [\stemDown a''8]","\clef ""bass"" {<<{\voiceOne r8 <cis' e'>8 \stemUp <cis' g'>8 [\stemUp <cis' g'>8]} \new Voice {\voiceTwo a4 s4}>>}"
"43","\stemDown a'8 [\stemDown bes'16 \stemDown b'16] \tuplet 3/2 {\stemDown c''8 [\stemDown f''8 \stemDown a'8]}","{<<{\voiceOne r8 <c' f'>8 \stemUp <c' f'>8 [\stemUp <c' f'>8]} \new Voice {\voiceTwo f2}>>}"
"44","\stemDown c'''8 [\stemDown d''8] \stemDown b''8 [\stemDown d''8]","{<<{\voiceOne r8 <fis c'>8 r8 b8} \new Voice {\voiceTwo d4 g4}>>}"
"45","\stemDown b'8 [\stemDown d''8] \stemDown g''8 [\stemDown b''8]","{<<{\voiceOne r8 <b d'>8 \stemUp <b d'>8 [\stemUp <b d'>8]} \new Voice {\voiceTwo g2}>>}"
"46","\stemDown c''8 [\stemDown e''8] g'4","\stemDown c8 [\stemDown <c' e'>8] \stemDown <c' e'>8 [\stemDown <c' e'>8]"
"47","\stemDown c''8 [\stemDown e''8] g''4","\stemDown c8 [\stemDown <c' e'>8] \stemDown <c' e'>8 [\stemDown <c' e'>8]"
"48","\stemDown <gis' d''>8 [\stemDown <gis' e''>8] \stemDown <a' fis''>8 [\stemDown <b' gis''>8]","\stemDown e8 [\stemDown e'8] \stemDown <dis' e'>8 [\stemDown <d' e'>8]"
"49","\stemDown b''16 [\stemDown c'''16 \stemDown d'''16 \stemDown b''16] \stemDown g''8 [\stemDown f'''8]","{<<{\voiceOne r8 <b f'>8 \stemUp <b d'>8 [\stemUp <b d'>8]} \new Voice {\voiceTwo g2}>>}"
"50","\stemUp c''8 [\stemUp <e' c''>8] <e' c''>4","\stemDown <c' e'>8 [\stemDown g8] c4"
"51","\stemDown c''8 [\stemDown <g' e''>8] <e' c''>4","\stemDown <c' e'>8 [\stemDown c'8] c4"
"52","\stemDown c''8 [\stemDown c'''8] c''4","\stemDown <c' e'>8 [\stemDown <e' g'>8] <c' e'>4"
"53","\stemDown f''8 [\stemDown a''8] f''4","\stemDown <f a>8 [\stemDown c'8] <f a>4"
"54","{<<{\voiceOne \stemUp b''8 [\stemUp d'''16 \stemUp b''16] \stemUp a''8 [\stemUp gis''8]} \new Voice {\voiceTwo d''4 \stemDown c''8 [\stemDown b'8]}>>}","{<<{\voiceOne r8 f'8 \stemUp e'8 [\stemUp d'8]} \new Voice {\voiceTwo f4 \stemDown e8 [\stemDown e8]}>>}"
"55","{<<{\voiceOne \stemUp d''8 [\stemUp e''16 \stemUp d''16] \stemUp d''8 [\stemUp g''8]} \new Voice {\voiceTwo f'4 f'4}>>}","{<<{\voiceOne r8 b8 \stemUp b8 [\stemUp b8]} \new Voice {\voiceTwo g2}>>}"
"56","\stemDown a''8 [\stemDown e''8] \stemDown cis'''8 [\stemDown e'''8]","{<<{\voiceOne r8 <cis' g'>8 \stemUp <cis' g'>8 [\stemUp <cis' g'>8]} \new Voice {\voiceTwo a2}>>}"
"57","\stemDown bes'8 [\stemDown c''16 \stemDown e''16] g''4","\stemDown c8 [\stemDown <c' e'>8] \stemDown <c' e'>8 [\stemDown <c' e'>8]"
"58","\stemDown g''8 [\stemDown d'''16 \stemDown dis'''16] \stemDown e'''8 [\stemDown g''8]","<g b f'>4 <g c' e'>4"
"59","\stemDown c''16 [\stemDown d''16 \stemDown e''16 \stemDown d''16] c''4","\stemDown <g c' e'>8 [\stemDown <g b f'>8] <c' e'>4 |"
"60","\stemDown a'8 [\stemDown d''16 \stemDown e''16] \stemDown f''16 [\stemDown g''16 \stemDown a''8]","\stemDown f8 [\stemDown a8] \stemDown d'8 [\stemDown f'8]"
"61","\stemDown b''8 [\stemDown f''16 \stemDown b''16] \stemDown d'''8 [\stemDown f'''8]","{<<{\voiceOne r8 <f b>8 \stemUp <f b>8 [\stemUp <f b>8]} \new Voice {\voiceTwo d2}>>}"
"62","\stemDown g''8 [\stemDown fis''16 \stemDown g''16] \stemDown as''8 [\stemDown f''16 \stemDown d''16]","<bes d' g'>4 <bes d' f'>4"
"63","\stemDown c'''8 [\stemDown a''8] \stemDown f'''8 [\stemDown a''8]","\stemDown a8 [\stemDown <c' f'>8] \stemDown f8 [\stemDown <c' f'>8]"
"64","\stemDown f''8 [\stemDown <c'' a''>8] <a' f''>4","\stemUp <a, c>8 [\stemUp e,8] a,,4"
"65","\stemUp e'8 [\stemUp c''16 \stemUp e'16] \stemDown g'8 [\stemDown e''8]","{<<{\voiceOne r8 <g c'>8 \stemUp <g c'>8 [\stemUp <g c'>8]} \new Voice {\voiceTwo c2}>>}"
"66","\stemDown g''16 [\stemDown f''16 \stemDown f''16 \stemDown d'''16] \stemDown d'''8 [\stemDown f''8]","{<<{\voiceOne r8 <b d'>8 \stemUp <b d'>8 [\stemUp <b d'>8]} \new Voice {\voiceTwo g2}>>}"
"67","\stemDown c'''8 [\stemDown d'''16 \stemDown e'''16] \stemDown f'''8 [\stemDown a''8]","<g bes c'>4 <f a c'>4"
"68","\stemDown d'''8 [\stemDown c'''8] \stemDown bes''8 [\stemDown a''8]","{<<{\voiceOne r8 f'8 r8 f'8} \new Voice {\voiceTwo c'4 d'4}>>}"
"69","\stemDown c'''16 [\stemDown bes''16 \stemDown a''16 \stemDown g''16] \stemDown a''8 [\stemDown f''8]","{<<{\voiceOne r8 <bes e'>8 r8 <a c'>8} \new Voice {\voiceTwo c4 f4}>>}"
"70","\stemDown g''8 [\stemDown <b' g''>8] <b' g''>4","\stemDown <g b>8 [\stemDown g8] g,4"
"71","\stemDown d''8 [\stemDown e''16 \stemDown d''16] \stemDown c'''8 [\stemDown a''8]","{<<{\voiceOne r8 <a d'>8 \stemUp <a d'>8 [\stemUp <a d'>8]} \new Voice {\voiceTwo fis2}>>}"
"72","\stemDown a''8 [\stemDown f''16 \stemDown d''16] \stemDown c''16 [\stemDown g''16 \stemDown b'16 \stemDown d''16]","\stemDown f8 [\stemDown <a d'>8] \stemDown <g c' e'>8 [\stemDown <g b f'>8]"
"73","\stemDown a''16 [\stemDown b''16 \stemDown c'''16 \stemDown d'''16] \stemDown e'''8 [\stemDown gis''8]","\stemDown e8 [\stemDown <c' e'>8] \stemDown e8 [\stemDown <b d'>8]"
"74","\stemDown d'''8 [\stemDown c'''8] \stemDown a''8 [\stemDown e''8]","{<<{\voiceOne r8 <c' e'>8 r8 <c' e'>8} \new Voice {\voiceTwo a4 a4}>>}"
"75","\stemDown e''8 [\stemDown e''16 \stemDown d''16] \stemDown a''8 [\stemDown d''8]","{<<{\voiceOne r8 <c' d'>8 \stemUp <c' d'>8 [\stemUp <c' d'>8]} \new Voice {\voiceTwo fis2}>>}"
"76","\stemDown a''16 [\stemDown gis''16 \stemDown a''16 \stemDown b''16] c'''4","\stemDown a8 [\stemDown <c' e'>8] \stemDown <c' e'>8 [\stemDown <c' e'>8]"
"77","\stemUp <e' c''>8 [\stemUp <e' c''>8] \stemUp <f' d''>8 [\stemUp <g' e''>8]","\stemDown c8 [\stemDown c'8] \stemDown <b c'>8 [\stemDown <bes c'>8]"
"78","\stemDown e''16 [\stemDown d''16 \stemDown cis''16 \stemDown d''16] \stemDown a''8 [\stemDown d''8]","\stemDown fis8 [\stemDown <a d'>8] \stemDown fis8 [\stemDown <c' d'>8]"
"79","\stemDown c''8 [\stemDown a'8] \stemDown a''8 [\stemDown e''8] |","{<<{\voiceOne r8 <c' e'>8 \stemUp <c' e'>8 [\stemUp <c' e'>8]} \new Voice {\voiceTwo a2}>>}"
"80","\stemDown a''16 [\stemDown g''16 \stemDown f''16 \stemDown e''16] \stemDown f''8 [\stemDown d''8]","\stemDown d8 [\stemDown <d' f'>8] \stemDown <d' f'>8 [\stemDown <d' f'>8]"
"81","\stemDown c'''16 [\stemDown d'''16 \stemDown e'''16 \stemDown f'''16] \stemDown g'''8 [\stemDown c'''8]","{<<{\voiceOne r8 <c' e'>8 \stemUp <c' e'>8 [\stemUp <c' e'>8]} \new Voice {\voiceTwo g2}>>}"
"82","\grace { \stemUp ais''8 } b''4 \grace { \stemUp ais''8 } \stemDown b''8 [\stemDown e'''8]","\stemDown e8 [\stemDown <gis d'>8] \stemDown gis8 [\stemDown <d' e'>8]"
"83","a''2","{<<{\voiceOne r8 <c' e'>8 \stemUp <c' e'>8 [\stemUp <c' e'>8]} \new Voice {\voiceTwo a2}>>}"
"84","\stemDown c''8 [\stemDown e''8] \stemDown a'8 [\stemDown a''8]","{<<{\voiceOne r8 <c' e'>8 \stemUp <c' e'>8 [\stemUp <c' e'>8]} \new Voice {\voiceTwo a2}>>}"
"85","{<<{\voiceOne \stemUp d''16 [\stemUp cis''16 \stemUp d''16 \stemUp e''16] \stemUp f''8 [\stemUp d''8]} \new Voice {\voiceTwo f'4 r4}>>}","\stemDown bes,8 [\stemDown <bes d'>8] \stemDown <bes d'>8 [\stemDown <bes d'>8]"
"86","\stemDown c'''8 [\stemDown a''8] \stemDown b''8 [\stemDown c'''8]","\stemDown <a c'>8 [\stemDown <fis a d'>8] \stemDown <g b f'>8 [\stemDown <a c' e'>8]"
"87","\stemUp <e' g'>8 [\stemUp <f' a'>16 \stemUp <e' g'>16] \stemUp <e' g'>8 [\stemUp <g' e''>8]","{<<{\voiceOne r8 c'8 \stemUp c'8 [\stemUp c'8]} \new Voice {\voiceTwo c2}>>}"
"88","\stemDown e''8 [\stemDown e''16 \stemDown d''16] \stemDown c''8 [\stemDown a'8]","\stemDown a,8 [\stemDown <a c'>8] \stemDown <a c'>8 [\stemDown <a c'>8]"
"89","\stemDown <c'' c'''>8 [\stemDown <g'' b''>16 \stemDown <f'' a''>16] \stemDown <e'' g''>8 [\stemDown <f'' a''>8]","{<<{\voiceOne r8 c'8 \stemUp c'8 [\stemUp c'8]} \new Voice {\voiceTwo c2}>>}"
"90","\stemDown e'''8 [\stemDown c'''8] \stemDown g''8 [\stemDown e''8]","\stemDown c8 [\stemDown <c' e'>8] \stemDown <c' e'>8 [\stemDown <c' e'>8]"
"91","\stemDown g''8 [\stemDown b'8] c''4","\stemDown <g d' f'>8 [\stemDown <g d' f'>8] <c' e'>4"
"92","\stemDown fis''16 [\stemDown g''16 \stemDown a''16 \stemDown fis''16] \stemDown d''8 [\stemDown c'''8]","{<<{\voiceOne r8 <c' d'>8 r8 <c' d'>8} \new Voice {\voiceTwo a4 fis4}>>}"
"93","\stemDown b''8 [\stemDown e''8] \stemDown e'''8 [\stemDown e''8]","<e gis b>4 \stemDown e'8 [\stemDown e8]"
"94","\stemDown g''8 [\stemDown c''8] \stemDown e''8 [\stemDown c'''8]","\stemDown c8 [\stemDown <c' e'>8] \stemDown <c' e'>8 [\stemDown <c' e'>8]"
"95","{<<{\voiceOne \stemUp e''16 [\stemUp f''16 \stemUp d''16 \stemUp e''16] c''4} \new Voice {\voiceTwo \stemDown g'8 [\stemDown f'8] e'4}>>}","\stemDown <g c'>8 [\stemDown <g b>8] <c c'>4"
"96","\stemDown a''16 [\stemDown g''16 \stemDown fis''16 \stemDown g''16] \stemDown c'''8 [\stemDown e''8]","\stemDown c8 [\stemDown <c' e'>8] \stemDown <c' e'>8 [\stemDown <c' g'>8]"
"97","\stemDown f''8 [\stemDown a''8] c''4","{<<{\voiceOne r8 <c' f'>8 \stemUp <c' f'>8 [\stemUp <c' f'>8]} \new Voice {\voiceTwo a2}>>}"
"98","\stemDown <e'' g''>8 [\stemDown <c'' e''>8] <e'' c'''>4","{<<{\voiceOne r8 c'8 c'4} \new Voice {\voiceTwo c2}>>}"
"99","{<<{\voiceOne \stemUp a''8. \turn [\stemUp b''16] \stemUp c'''8 [\stemUp e''8]} \new Voice {\voiceTwo c''2}>>}","\stemDown <c' e'>8. [\stemDown b16] \stemDown a8 [\stemDown <c' e'>8]"
"100","\stemDown e''8 [\stemDown c''8] \stemDown a''8 [\stemDown g''8]","{<<{\voiceOne r8 <c' e'>8 \stemUp <c' e'>8 [\stemUp <c' e'>8]} \new Voice {\voiceTwo c2}>>}"
"101","\stemDown <g' c'' g''>8 [\stemDown <g' c''>8] \stemDown <a' c'' f''>8 [\stemDown <c'' f'' a''>8]","e4 \stemDown f8 [\stemDown f8]"
"102","\stemUp c''8 [\stemUp <e' c''>8] <e' c''>4","\stemDown <c' e'>8 [\stemDown g8] c4"
"103","\stemDown b''8 [\stemDown d'''16 \stemDown b''16] \stemDown a''8 [\stemDown gis''8]","{<<{\voiceOne r8 <a b d'>8 \stemUp <e c'>8 [\stemUp <e b d'>8]} \new Voice {\voiceTwo f4 s4}>>}"
"104","\stemDown g''16 [\stemDown f''16 \stemDown e''16 \stemDown d''16] \stemDown c''8 [\stemDown b'8]","{<<{\voiceOne r8 <a d'>8 \stemUp <e a e'>8 [\stemUp <e gis d'>8]} \new Voice {\voiceTwo f4 s4}>>}"
"105","\stemDown a'8 [\stemDown d''8] \stemDown cis''16 [\stemDown d''16 \stemDown e''16 \stemDown d''16]","{<<{\voiceOne r8 <fis c'>8 \stemUp <fis c'>8 [\stemUp <fis c'>8]} \new Voice {\voiceTwo d2}>>}"
"106","\stemDown gis''8 [\stemDown e''8] \stemDown a''8 [\stemDown e''8]","<e b d'>4 <e a c'>4"
"107","\stemDown g''16 [\stemDown fis''16 \stemDown g''16 \stemDown gis''16] \stemDown a''8 [\stemDown d''8]","{<<{\voiceOne r8 <b f'>8 \stemUp <b f'>8 [\stemUp <b f'>8]} \new Voice {\voiceTwo g2}>>}"
"108","\stemDown a''16 [\stemDown gis''16 \stemDown a''16 \stemDown b''16] \stemDown c'''8 [\stemDown a''8]","{<<{\voiceOne r8 <c' f'>8 \stemUp <c' f'>8 [\stemUp <c' f'>8]} \new Voice {\voiceTwo f2}>>}"
"109","{<<{\voiceOne \stemUp f''8. \turn [\stemUp g''16] a''4} \new Voice {\voiceTwo a'2}>>}","{<<{\voiceOne \stemUp a8. [\stemUp g16] f4} \new Voice {\voiceTwo c'2}>>}"
"110","{<<{\voiceOne \stemUp a''8 [\stemUp g''8] \stemUp fis''8 [\stemUp g''8]} \new Voice {\voiceTwo b'2}>>}","\stemUp g,8 [\stemUp g8] \stemDown <d' f'>8 [\stemDown b8]"
"111","\stemDown b''8 [\stemDown e'''16 \stemDown d'''16] \stemDown c'''8 [\stemDown a''8]","\stemDown gis8 [\stemDown <b e'>8] \stemDown a8 [\stemDown <c' e'>8]"
"112","\stemDown b''8 [\stemDown e''8] \stemDown dis''16 [\stemDown e''16 \stemDown d''16 \stemDown b'16]","{<<{\voiceOne r8 <gis d'>8 \stemUp <gis d'>8 [\stemUp <gis d'>8]} \new Voice {\voiceTwo e2}>>}"
"113","\stemDown e''8 [\stemDown c''8] \stemDown a''8 [\stemDown e''8]","\stemDown a,8 [\stemDown <c' e'>8] \stemDown a8 [\stemDown <c' e'>8]"
"114","\stemDown b''8 [\stemDown d'''16 \stemDown f'''16] \stemDown e'''8 [\stemDown gis''8]","\stemDown d8 [\stemDown <a b>8] \stemDown e8 [\stemDown <b d'>8]"
"115","\grace { \stemUp a''8 } bes''4 \grace { \stemUp a''8 } \stemDown bes''8 [\stemDown g''8]","\stemDown c8 [\stemDown <g e'>8] \stemDown <g e'>8 [\stemDown <bes e'>8]"
"116","{<<{\voiceOne \stemUp a''8. [\stemUp g''16] \stemUp f''8 [\stemUp f''8]} \new Voice {\voiceTwo cis''4 d''4}>>}","{<<{\voiceOne r8 e'8 d'8 r8} \new Voice {\voiceTwo a4 r8 d8}>>}"
"117","\stemDown f''8 [\stemDown g'16 \stemDown b'16] \stemDown d''8 [\stemDown a''8]","\stemDown g8 [\stemDown <b f'>8] \stemDown g8 [\stemDown <b f'>8]"
"118","\stemDown e''8. [\stemDown f''16] \stemDown e''8 [\stemDown d''8]","{<<{\voiceOne r8 <b e'>8 \stemUp <b e'>8 [\stemUp <b e'>8]} \new Voice {\voiceTwo gis2}>>}"
"119","\stemDown f'''8 [\stemDown e'''8] \stemDown c'''8 [\stemDown a''8]","{<<{\voiceOne r8 <a e'>8 \stemUp <a e'>8 [\stemUp <a e'>8]} \new Voice {\voiceTwo e2}>>}"
"120","\stemUp a'8 [\stemUp <c' a'>8] <c' a'>4","\stemDown <a c'>8 [\stemDown e8] a,4"
"121","\stemDown a'8 [\stemDown f''8] \stemDown as'16 [\stemDown f''16 \stemDown g'16 \stemDown g''16]","<d' f'>4 \stemDown <c' d'>8 [\stemDown <b d'>8]"
"122","d''4 r4","\stemDown d8 [\stemDown f'8] d'4"
"123","\stemDown a''8 [\stemDown f'''8] \stemDown c'''8 [\stemDown a''8]","{<<{\voiceOne r8 <c' f'>8 \stemUp <c' f'>8 [\stemUp <c' f'>8]} \new Voice {\voiceTwo f2}>>}"
"124","\stemDown <a' a''>8 [\stemDown <c'' a''>8] <a' a''>4","\stemDown <a c'>8 [\stemDown e8] a,4"
"125","\stemDown c'''16 [\stemDown f'''16 \stemDown e'''16 \stemDown f'''16] \stemDown g'''16 [\stemDown f'''16 \stemDown e'''16 \stemDown d'''16]","{<<{\voiceOne r8 <c' f'>8 r8 <d' f'>8} \new Voice {\voiceTwo a4 bes4}>>}"
"126","\stemDown e''8 [\stemDown c''8] \stemDown c'''8 [\stemDown g''8]","{<<{\voiceOne r8 <bes e'>8 \stemUp <bes e'>8 [\stemUp <bes e'>8]} \new Voice {\voiceTwo g2}>>}"
"127","\stemDown cis''16 [\stemDown d''16 \stemDown f''16 \stemDown a''16] \stemDown g''8 [\stemDown b'8]","{<<{\voiceOne r8 <a d'>8 r8 <d' f'>8} \new Voice {\voiceTwo f4 g4}>>}"
"128","\stemDown a''8 [\stemDown f''8] \stemDown d''8 [\stemDown b'8]","<f c' d'>4 \stemDown <g b d'>8 [\stemDown <g d' f'>8]"
"129","\tuplet 3/2 {\grace { \stemUp b'8*3/2 } \stemDown c''8 [\stemDown e''8 \stemDown f''8]} f''4","{<<{\voiceOne r8 <a f'>8 \stemUp <a f'>8 [\stemUp <a f'>8]} \new Voice {\voiceTwo f2}>>}"
"130","\stemUp g'8 [\stemUp a'16 \stemUp g'16] \stemDown f''8 [\stemDown d''8]","{<<{\voiceOne r8 <b d'>8 \stemUp <b d'>8 [\stemUp <b f'>8]} \new Voice {\voiceTwo g2}>>}"
"131","\grace { \stemUp dis''8 } e''4 \grace { \stemUp dis''8 } \stemDown e''8 [\stemDown cis''8]","{<<{\voiceOne r8 <cis' g'>8 \stemUp <cis' g'>8 [\stemUp <e' g'>8]} \new Voice {\voiceTwo a2}>>}"
"132","\stemDown a''8 [\stemDown f'''8] \stemDown c'''8 [\stemDown a''8]","{<<{\voiceOne r8 <c' f'>8 \stemUp <c' f'>8 [\stemUp <c' f'>8]} \new Voice {\voiceTwo f2}>>}"
"133","\stemUp gis'8 [\stemUp b'8] \stemDown e''8 [\stemDown gis''8]","{<<{\voiceOne r8 <gis d'>8 \stemUp <b e'>8 [\stemUp <b e'>8]} \new Voice {\voiceTwo e2}>>}"
"134","R2","{<<{\voiceOne a4 \stemUp c'8 [\stemUp e'8]} \new Voice {\voiceTwo a,4 \stemDown c8 [\stemDown e8]}>>}"
"135","\stemDown g''8 [\stemDown fis''16 \stemDown g''16] \stemDown a''16 [\stemDown g''16 \stemDown f''16 \stemDown d''16]","{<<{\voiceOne r8 <b d'>8 \stemUp <b f'>8 [\stemUp <b f'>8]} \new Voice {\voiceTwo g2}>>}"
