"bar_index","piano_right_hand","piano_left_hand"
"58","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"59","c''4 c''8 c''","c16 e g e c e g e"
"60","f''8 [ f'' d'' d'']","g8 g,16 a, b, c d b,"
"61","d''8 [ d'' fis'' a'' ]","d16 fis a fis d8 c"
"62","e''8 [ e'' g'' e'' ]","c16 g, e c c' g e c"
"63","e''8 [ a'' g'' fis'' ]","c16 b, c a, d cis d d,"
"64","g''16 e'' f'' d'' c'' g'' e'' c''","c4 r"
"65","c''8 c'' c''4","c4 c,"
"66","fis''8 fis''16 a'' d'''8 a''16 fis''","d4 d"
"67","g''8 b''16 g'' d''8 g''16 d''","g4 b,"
"68","g''8 g''16 e'' c''8 c''16 e''","c4 r"
"69","c''8 g'16 e' c'8 c'","c4 r"
"70","c''4 c''8 c''","c16 g, a, b, c g, a, b,"
"71","<e' c''>8 <e'c''> <e' c''>4","c16c, e, g, c e g e"
"72","e''4 c''8 c''","c16 e g e c e g e"
"73","e''8 [ g'' fis'' a'' ]","c4 d"
"74","c''4 c'","c4 c,"
"75","c''4 c''8 c''","c16 g, a, b, c g, a, b,"
"76","d''16 c'' b' a' g'4","g,4 g16 f e d"
"77","d'8 fis'16 a' d''8 fis''","d4 d"
"78","e''8 e''16 g'' fis''8 fis''16 a''","c4 d"
"79","g''8 b''16 g'' d''8 g''16 d''","<b, g>4 g,"
"80","c''8 [ e'' e'' e'' ]","c4 r"
"81","c''8 [ g' c'' e'' ]","c4 r"
"82","d''4 d''8 d''","d16 fis a g fis d e fis"
"83","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"84","d''8 b' g'4","g,16 b, d g g, f e d"
"85","g''8 g''16 e'' c''8 c''16 e''","c4 r"
"86","f''8 f''16 d'' b'8 b'16 d''","g,4 g,"
"87","e''8 c''16 e'' g''8 e''16 c''","c4 r"
"88","c''8 e''16 g'' c''' g'' e'' c''","c4 r"
"89","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"90","d''8 [ b' g' b' ]","g8 g,16 a, b, a, b, g,"
"91","g''4 b''8 g''","b,16 d g d b, g, a, b,"
"92","g''8 [ d'' b' g' ]","g4 r"
"93","d''4 a''8 fis''","d16 fis a fis c fis a c"
"94","c''8 [ e'' g'' e'' ]","c16 e g e c e g e"
"95","f''8 [ d'' g'' e'' ]","g4 g,"
"96","d''8 [ d'' b' b' ]","g16 d b, g, g d b, g,"
"97","c''8 [ g' c'' e'' ]","e8 e16 e e8 c"
"98","c''4 c'","c4 c,"
"99","g'8 c''4 e''8","c16 g e g c g e g"
"100","b'16 a'g'a'b'c'' d'' b'","g, 4 g,"
"101","g''8 e''4 c''8","c16 g e g c g e g"
"102","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"103","g''16 c''' g'' f'' e'' c'' e'' g''","c4 r"
"104","g''8 d'''16 b'' g''4","g4 g,"
"105","c''16 b' c'' d'' e'' d'' e'' f''","c4 c"
"106","g''8 e''4 c''8","c16 g e g c g e g"
"107","d''8 b'4 g'8","b,16 d g d g f e d"
"108","f''16 a'' f'' d'' b' d'' b' g'","g4 g,"
"109","d''8 f''4 b'8","g,16 d b, d g, d b, d"
"110","c''8 [ e'' c'' g' ]","e8 e16 e e8 c"
"111","d'8 fis'16 a' d''8 fis''","d4 d"
"112","f''8 [ d'' b' g' ]","g4 g,"
"113","c''8 [ g' e' c' ]","c8 c16 c c8 c"
"114","g''8 a''16 g'' f'' e'' d'' c''","c4 r"
"115","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"116","d''8 fis''4 a''8","d8 cis 16 d c d c d"
"117","a''8 fis''4 d''8","d16 a fis a d a fis a"
"118","c''4 c'","c4 c,"
"119","g''8 [ c''' g'' e'' ]","c4 c"
"120","d''16 e'' fis'' g'' a'' b'' c''' a''","d4 fis"
"121","c''8 e''16 c'' g'4","c4 g,"
"122","c''8 [ g' e' c' ]","c4 c,"
"123","g''8 [ d'' b' g' ]","g4 g,"
"124","b'8 [ d'' g'' b'' ]","g4 g,"
"125","b''16 d''' c''' b'' a'' g'' fis'' g''","g4 b,"
"126","b'8 d'' g'4","g,4 g16 f e d"
"127","c''4 c'","c4 c,"
"128","g'8 c''4 e''8","c16 g e g c g e g"
"129","f''8 [ d'' b' g' ]","g4 g,"
"130","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"131","f''8 d''4 b'8","g,16 d b, d g, d b, d"
"132","e''8 c''4 a'16 fis'","c16 a fis a a, d c d"
"133","d''8 g''4 b''8","b,16 d g d b, d g d"
"134","c''16 e'' g'' e'' c'' g' c'' e''","c4 r"
"135","e''8 g'' f''16 e'' d'' c''","c4 c"
"136","d''8 fis''16 a'' d'''8 d'''","d4 fis"
"137","e''8 c''' b''16 a'' g'' fis''","c4 d"
"138","g''8 e''4 c''8","c16 e g e c e g e"
"139","c''8 e'' g'4","c16 g e g c g e g"
"140","g''8 d''4 b'8","d16 b g b d b g b"
"141","d''8 [ b' g' b' ]","g4 g,"
"142","c''8 [ g' c'' e'' ]","c8 c16 c c8 g,"
"143","e''8 [ c'' a' fis' ]","c4 c"
"144","d'8 fis'16 a' d''8 fis''","d4 d"
"145","<g e' c''>4 \arpeggio c''16 d'' e'' f''","c16 e g e c4"
"146","c''4 c'","c4 c,"
"147","d''16 e'' fis'' g'' a'' fis'' e'' d''","d4 fis"
"148","a''16 g'' a'' fis'' d''8 e''16 fis''","d4 fis"
"149","d'8 d'' 4 fis''16 a''","d4 r"
"150","g''8 e'' c''16 e'' g'' e''","c16 e g e c4"
"151","c''4 e''8 g''","c16 e g e c4"
"152","g''8 c'''16 g'' e''8 c''","c4 r"
"153","g''16 a'' b'' c''' d''' b'' a'' g''","g4 b,"
"154","f''8 [ d'' c'' b' ]","g4 b,"
"155","a''4 g''16 fis'' e'' d''","d16 fis a fis d8 c"
"156","g'' 8 b''4 g''16 d''","g4 r"
"157","g''16 a'' b'' c''' d'''4","g4 g,"
"158","c''16 d'' e'' f'' g'' e'' d'' c''","c4 c,"
"159","d''8 f''4 d''16 b'","g4 g,"
"160","d''8 b' g'16 b' d'' b'","g,16 b, d b, g,4"
"161","e''16 g'' e'' c'' b' a' g' fis'","c4 d"
"162","g''8 c''' \acciaccatura f''8 e'' d''16 c''","c4 c"
"163","c''16 b' c'' d'' c''8 c''","c4 c"
"164","b'8 [ b' g' g' ]","g,16 a, b, c d e f d"
"165","c''8 e''16 c'' g'8 g'","c4 r"
"166","g''16 a'' g'' f'' e''8 e''","c4 e16 g e c"
"167","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"168","e''8 c''4 a'16 fis'","c4 d"
"169","c''16 b' c'' d'' e''8 e''","c4 c16 e g e"
"170","b'16 g' b' d'' g''4","g,4 g16 f e d"
"171","c''4 c'","c4 c,"
"172","<g' b' g''>4 r","<<{\voiceOne g,4 g16 f e d} \new Voice {\voiceTwo g,4 g,16 a, b, cis}>>"
"173","b'16 g' d' b g g' b' d'' |","g,4 r"
"174","c''4 e''8 g'' |","c16 e g e c4"
"175","c'''8 [ g'' e'' c'' ] |","c4 c"
"176","g''8 b'' g''4 |","b,16 g, b, d g d b, g,"
